customer_id,customer_city,customer_state_province,customer_country,birthdate,marital_status,yearly_income,gender,num_children_at_home,education,acct_open_date,member_card
97,Richmond,British Columbia,Canada,1923.08.03,M,$50K - $70K,M,4,High School Degree,1992.04.21,Golden
98,Richmond,British Columbia,Canada,1952.03.12,M,$130K - $150K,F,1,High School Degree,1990.09.07,Bronze
99,Port Orchard,Washington,USA,1934.04.09,S,$30K - $50K,F,0,Bachelors Degree,1992.05.28,Bronze
100,San Jose,Washington,USA,1929.12.14,M,$90K - $110K,F,2,Partial High School,1990.08.06,Silver
101,N. Vancouver,British Columbia,Canada,1975.04.26,S,$10K - $30K,F,0,Partial High School,1993.07.16,Normal
102,Langford,British Columbia,Canada,1972.05.02,M,$30K - $50K,M,0,Bachelors Degree,1990.10.06,Bronze
103,Acapulco,Guerrero,Mexico,1914.05.27,M,$50K - $70K,M,3,Bachelors Degree,1992.04.24,Golden
104,Hidalgo,Zacatecas,Mexico,1952.03.04,M,$30K - $50K,F,1,Partial College,1994.11.12,Bronze
105,National City,Washington,USA,1933.05.12,M,$150K +,M,3,Bachelors Degree,1992.02.08,Golden
106,Long Beach,Washington,USA,1979.03.20,S,$50K - $70K,M,0,Bachelors Degree,1991.11.19,Bronze
107,Cliffside,British Columbia,Canada,1921.05.09,M,$30K - $50K,M,2,High School Degree,1990.06.17,Bronze
108,Shawnee,British Columbia,Canada,1931.05.13,M,$90K - $110K,M,1,Bachelors Degree,1993.02.21,Bronze
109,Newton,British Columbia,Canada,1929.08.01,S,$50K - $70K,M,0,Bachelors Degree,1992.09.19,Bronze
110,West Covina,Washington,USA,1942.02.03,S,$10K - $30K,M,0,Partial High School,1993.08.02,Normal
111,Palo Alto,Washington,USA,1965.10.21,M,$70K - $90K,F,2,Bachelors Degree,1992.02.24,Bronze
112,Santa Monica,Washington,USA,1948.11.24,M,$30K - $50K,F,1,High School Degree,1991.02.11,Bronze
113,Sooke,British Columbia,Canada,1964.05.20,M,$110K - $130K,F,1,Bachelors Degree,1993.01.27,Bronze
114,Sooke,British Columbia,Canada,1943.04.16,S,$150K +,F,0,High School Degree,1993.03.09,Silver
115,Altadena,Washington,USA,1977.06.09,S,$90K - $110K,F,0,Bachelors Degree,1994.09.12,Silver
116,Burnaby,British Columbia,Canada,1934.10.11,S,$90K - $110K,M,0,High School Degree,1994.08.14,Bronze
117,Albany,Oregon,USA,1954.02.04,M,$90K - $110K,F,1,Graduate Degree,1994.04.16,Bronze
118,Bremerton,Washington,USA,1913.10.04,S,$50K - $70K,M,0,Bachelors Degree,1993.03.03,Bronze
119,N. Vancouver,British Columbia,Canada,1957.07.26,S,$10K - $30K,M,0,Partial High School,1991.05.21,Normal
120,Milwaukie,Oregon,USA,1957.01.28,M,$30K - $50K,F,0,High School Degree,1990.09.07,Bronze
121,Santa Monica,Washington,USA,1912.02.17,S,$30K - $50K,F,0,High School Degree,1994.07.27,Silver
122,Walla Walla,Washington,USA,1920.09.22,M,$30K - $50K,F,1,High School Degree,1992.05.19,Bronze
123,Richmond,Washington,USA,1964.07.08,M,$30K - $50K,F,0,High School Degree,1993.08.15,Bronze
124,Oakland,Washington,USA,1930.09.07,S,$70K - $90K,F,0,Bachelors Degree,1991.03.27,Bronze
125,Bellflower,Washington,USA,1972.12.04,M,$70K - $90K,M,2,Bachelors Degree,1991.06.22,Bronze
126,Ballard,Washington,USA,1947.02.03,S,$110K - $130K,F,0,Partial College,1990.07.24,Normal
127,Everett,Washington,USA,1932.06.18,S,$10K - $30K,M,0,Partial High School,1992.11.27,Normal
128,Salem,Oregon,USA,1947.04.18,S,$30K - $50K,F,0,High School Degree,1992.08.11,Bronze
129,Concord,Washington,USA,1925.05.11,M,$50K - $70K,F,0,Bachelors Degree,1990.11.16,Bronze
130,Concord,Washington,USA,1949.04.15,S,$110K - $130K,F,0,Graduate Degree,1992.09.23,Bronze
131,La Jolla,Washington,USA,1944.03.06,S,$10K - $30K,M,0,Partial High School,1991.12.22,Normal
132,Cliffside,British Columbia,Canada,1933.03.05,S,$30K - $50K,F,0,High School Degree,1993.10.06,Silver
133,Burbank,Washington,USA,1915.02.22,M,$30K - $50K,M,0,High School Degree,1990.11.21,Bronze
134,Spokane,Washington,USA,1918.10.04,S,$50K - $70K,M,0,Bachelors Degree,1991.07.06,Bronze
135,Tixapan,Mexico DF,Mexico,1924.03.23,M,$110K - $130K,M,0,Bachelors Degree,1994.08.02,Silver
136,Lynnwood,Washington,USA,1956.05.22,M,$150K +,M,3,Bachelors Degree,1991.09.12,Golden
137,Newport Beach,Washington,USA,1943.03.08,M,$130K - $150K,F,3,Partial College,1993.07.13,Bronze
138,Oak Bay,British Columbia,Canada,1925.09.22,S,$90K - $110K,F,0,Partial High School,1991.05.08,Silver
139,Coronado,Washington,USA,1931.04.05,M,$30K - $50K,M,1,Partial High School,1991.08.12,Bronze
140,La Mesa,Washington,USA,1947.11.14,M,$10K - $30K,M,1,Partial High School,1990.10.21,Normal
141,Santa Anita,Mexico DF,Mexico,1939.07.24,M,$10K - $30K,M,3,Partial High School,1992.11.13,Normal
142,Renton,Washington,USA,1958.07.05,M,$50K - $70K,F,1,Bachelors Degree,1990.10.24,Golden
143,Glendale,Washington,USA,1975.08.17,M,$30K - $50K,F,5,Partial College,1990.11.24,Golden
144,Westminster,British Columbia,Canada,1964.06.25,S,$10K - $30K,M,0,Partial High School,1992.04.06,Bronze
145,Victoria,British Columbia,Canada,1974.03.16,M,$10K - $30K,M,3,Partial High School,1991.10.27,Normal
146,Victoria,British Columbia,Canada,1960.10.17,S,$130K - $150K,M,0,Partial High School,1991.08.15,Bronze
147,Sooke,British Columbia,Canada,1917.05.05,S,$110K - $130K,M,0,Bachelors Degree,1992.12.20,Bronze
148,Kirkland,Washington,USA,1950.04.12,S,$70K - $90K,M,0,High School Degree,1993.07.28,Bronze
149,Chula Vista,Washington,USA,1964.11.27,S,$50K - $70K,M,0,Bachelors Degree,1992.07.24,Bronze
150,Seattle,Washington,USA,1929.05.06,M,$30K - $50K,F,1,High School Degree,1991.11.06,Bronze
151,San Jose,Washington,USA,1959.04.08,M,$30K - $50K,F,0,Partial College,1991.08.27,Bronze
152,Ballard,Washington,USA,1953.03.04,S,$150K +,F,0,High School Degree,1990.05.07,Silver
153,Guadalajara,Jalisco,Mexico,1914.11.26,M,$10K - $30K,F,2,Partial High School,1990.11.05,Normal
154,Lebanon,Oregon,USA,1916.10.25,S,$50K - $70K,F,0,Bachelors Degree,1992.12.19,Bronze
155,Port Hammond,British Columbia,Canada,1966.05.17,M,$110K - $130K,M,1,Partial High School,1993.11.20,Silver
156,Sooke,British Columbia,Canada,1944.08.23,S,$130K - $150K,M,0,Bachelors Degree,1993.10.02,Bronze
157,La Mesa,Washington,USA,1910.04.15,S,$50K - $70K,F,0,Bachelors Degree,1993.10.03,Bronze
158,Tacoma,Washington,USA,1961.12.19,M,$130K - $150K,F,1,Partial College,1993.06.11,Bronze
159,Milwaukie,Oregon,USA,1940.09.02,M,$30K - $50K,M,4,High School Degree,1991.03.08,Bronze
160,Renton,Washington,USA,1961.03.08,M,$90K - $110K,F,1,Partial High School,1990.04.14,Golden
161,Grossmont,Washington,USA,1933.08.23,M,$30K - $50K,F,0,High School Degree,1992.09.17,Bronze
162,Ladner,British Columbia,Canada,1963.03.05,M,$30K - $50K,F,1,Partial High School,1993.11.18,Bronze
163,Los Angeles,Washington,USA,1952.06.17,S,$10K - $30K,F,0,Partial High School,1992.10.23,Normal
164,Coronado,Washington,USA,1947.02.22,S,$30K - $50K,F,0,High School Degree,1990.01.01,Bronze
165,Milwaukie,Oregon,USA,1935.08.17,S,$130K - $150K,M,0,Bachelors Degree,1992.09.22,Bronze
166,Oak Bay,British Columbia,Canada,1932.09.20,S,$30K - $50K,F,0,High School Degree,1992.04.26,Golden
167,Lemon Grove,Washington,USA,1932.06.07,S,$70K - $90K,M,0,Graduate Degree,1990.09.17,Bronze
168,Walla Walla,Washington,USA,1963.07.24,M,$10K - $30K,F,3,Partial High School,1991.05.05,Normal
169,Lebanon,Oregon,USA,1956.12.16,M,$50K - $70K,F,0,Partial High School,1993.07.28,Bronze
170,Los Angeles,Washington,USA,1920.07.13,S,$10K - $30K,M,0,Partial High School,1993.05.12,Normal
171,Downey,Washington,USA,1932.10.02,M,$10K - $30K,M,1,Partial High School,1991.09.26,Normal
172,West Covina,Washington,USA,1942.10.05,M,$50K - $70K,F,1,Bachelors Degree,1991.07.14,Silver
173,Bellingham,Washington,USA,1940.02.21,S,$50K - $70K,F,0,High School Degree,1994.03.12,Golden
174,San Carlos,Washington,USA,1953.06.23,M,$90K - $110K,F,0,High School Degree,1991.07.17,Bronze
175,Metchosin,British Columbia,Canada,1976.03.14,S,$70K - $90K,F,0,Graduate Degree,1991.09.05,Bronze
176,Concord,Washington,USA,1960.05.16,M,$110K - $130K,M,2,Partial College,1992.06.08,Silver
177,Corvallis,Oregon,USA,1975.09.13,M,$10K - $30K,M,0,Partial High School,1991.08.08,Normal
178,Woodburn,Oregon,USA,1967.12.19,S,$30K - $50K,M,0,Partial College,1991.09.18,Bronze
179,Lakewood,Washington,USA,1918.11.01,S,$130K - $150K,M,0,Graduate Degree,1991.02.09,Golden
180,Seattle,Washington,USA,1945.03.03,S,$50K - $70K,F,0,Bachelors Degree,1992.04.23,Bronze
181,Bremerton,Washington,USA,1965.06.23,S,$30K - $50K,F,0,High School Degree,1992.11.25,Bronze
182,Everett,Washington,USA,1924.03.24,M,$110K - $130K,F,1,Graduate Degree,1990.07.01,Bronze
183,Langford,British Columbia,Canada,1969.11.19,M,$130K - $150K,M,0,Graduate Degree,1991.12.27,Bronze
184,Oak Bay,British Columbia,Canada,1968.05.20,M,$70K - $90K,F,0,High School Degree,1993.08.26,Bronze
185,Edmonds,Washington,USA,1923.07.10,S,$10K - $30K,M,0,Partial High School,1993.06.20,Normal
186,Imperial Beach,Washington,USA,1931.02.15,M,$110K - $130K,F,2,Partial High School,1994.11.28,Bronze
187,Woodburn,Oregon,USA,1975.12.01,S,$10K - $30K,M,0,Partial High School,1991.03.23,Normal
188,Albany,Oregon,USA,1959.11.13,M,$30K - $50K,F,4,High School Degree,1993.09.08,Golden
189,Metchosin,British Columbia,Canada,1919.11.26,M,$10K - $30K,M,1,Partial High School,1993.02.04,Normal
190,Corvallis,Oregon,USA,1964.12.25,M,$110K - $130K,F,0,Partial College,1993.05.17,Bronze
191,Arcadia,Washington,USA,1949.05.13,S,$30K - $50K,F,0,Partial College,1991.10.20,Normal
192,Spokane,Washington,USA,1977.06.24,M,$50K - $70K,F,0,Bachelors Degree,1990.03.20,Bronze
193,Los Angeles,Washington,USA,1942.04.07,S,$30K - $50K,M,0,Partial College,1991.12.03,Bronze
194,Mexico City,Mexico DF,Mexico,1970.05.07,S,$30K - $50K,F,0,Partial College,1994.02.21,Bronze
195,N. Vancouver,British Columbia,Canada,1965.04.24,S,$50K - $70K,F,0,Bachelors Degree,1991.01.10,Bronze
196,Daly City,Washington,USA,1966.07.08,S,$10K - $30K,M,0,Partial High School,1994.11.20,Normal
197,National City,Washington,USA,1948.06.25,M,$10K - $30K,F,1,High School Degree,1991.04.20,Normal
198,Imperial Beach,Washington,USA,1939.11.22,M,$10K - $30K,F,1,Partial High School,1992.11.04,Normal
199,Richmond,Washington,USA,1946.04.15,M,$10K - $30K,M,0,Bachelors Degree,1991.12.27,Normal
200,Los Angeles,Washington,USA,1977.06.13,S,$50K - $70K,F,0,Partial College,1992.07.08,Bronze
201,Santa Fe,Mexico DF,Mexico,1976.07.11,M,$50K - $70K,F,0,Bachelors Degree,1994.05.09,Bronze
202,Santa Cruz,Washington,USA,1946.09.13,S,$10K - $30K,F,0,Partial High School,1993.07.15,Normal
203,Newton,British Columbia,Canada,1952.04.24,M,$50K - $70K,M,0,Bachelors Degree,1992.06.08,Silver
204,N. Vancouver,British Columbia,Canada,1968.11.06,M,$130K - $150K,M,1,High School Degree,1991.09.17,Bronze
205,San Diego,Washington,USA,1960.08.16,M,$110K - $130K,M,1,Bachelors Degree,1994.12.20,Bronze
206,Sedro Woolley,Washington,USA,1979.08.23,S,$50K - $70K,F,0,Bachelors Degree,1992.12.03,Bronze
207,La Jolla,Washington,USA,1938.12.20,S,$70K - $90K,M,0,Graduate Degree,1992.06.19,Bronze
208,Woodburn,Oregon,USA,1916.06.17,M,$130K - $150K,F,1,Partial College,1990.02.12,Golden
209,Imperial Beach,Washington,USA,1925.04.08,S,$70K - $90K,M,0,Bachelors Degree,1993.08.06,Bronze
210,Burnaby,British Columbia,Canada,1911.10.09,M,$70K - $90K,F,1,Graduate Degree,1993.02.10,Normal
211,Santa Anita,Mexico DF,Mexico,1938.05.24,M,$10K - $30K,M,3,Partial High School,1993.02.07,Normal
212,Novato,Washington,USA,1971.05.04,M,$10K - $30K,M,3,Partial High School,1990.11.26,Normal
213,Woodland Hills,Washington,USA,1915.12.19,S,$30K - $50K,F,0,High School Degree,1994.11.22,Bronze
214,Ladner,British Columbia,Canada,1950.05.24,M,$30K - $50K,M,0,High School Degree,1992.03.04,Bronze
215,National City,Washington,USA,1919.06.14,M,$50K - $70K,M,1,Partial College,1993.12.25,Bronze
216,Olympia,Washington,USA,1924.07.21,S,$70K - $90K,F,0,High School Degree,1994.09.07,Bronze
217,Woodburn,Oregon,USA,1925.04.18,S,$50K - $70K,M,0,Partial College,1994.03.06,Bronze
218,Santa Anita,Mexico DF,Mexico,1939.06.02,S,$70K - $90K,M,0,Bachelors Degree,1991.05.20,Bronze
219,Bellflower,Washington,USA,1977.09.10,M,$30K - $50K,M,2,High School Degree,1992.12.10,Bronze
220,Torrance,Washington,USA,1955.01.16,M,$50K - $70K,F,0,Bachelors Degree,1990.02.27,Bronze
221,Lynnwood,Washington,USA,1922.08.08,M,$30K - $50K,F,2,Partial College,1990.10.17,Bronze
222,Lemon Grove,Washington,USA,1972.05.12,S,$90K - $110K,F,0,High School Degree,1990.09.08,Bronze
223,Sooke,British Columbia,Canada,1963.05.06,M,$10K - $30K,F,1,Partial High School,1991.04.22,Normal
224,La Cruz,Sinaloa,Mexico,1973.08.27,M,$10K - $30K,F,0,Partial High School,1992.08.12,Golden
225,Beaverton,Oregon,USA,1956.05.26,S,$30K - $50K,M,0,High School Degree,1993.04.11,Bronze
226,W. Linn,Oregon,USA,1974.08.25,S,$90K - $110K,F,0,Graduate Degree,1992.09.24,Bronze
227,Burbank,Washington,USA,1963.10.10,S,$30K - $50K,F,0,High School Degree,1994.05.18,Bronze
228,El Cajon,Washington,USA,1958.06.14,M,$90K - $110K,F,0,High School Degree,1993.10.07,Normal
229,Renton,Washington,USA,1946.02.10,M,$70K - $90K,F,0,Graduate Degree,1990.07.28,Bronze
230,Bellingham,Washington,USA,1943.02.13,M,$10K - $30K,M,0,Partial High School,1991.07.07,Normal
231,Oak Bay,British Columbia,Canada,1944.10.27,M,$30K - $50K,F,1,Partial College,1994.04.08,Bronze
232,Ladner,British Columbia,Canada,1911.08.04,M,$110K - $130K,F,0,Bachelors Degree,1990.08.13,Silver
233,Sedro Woolley,Washington,USA,1974.02.23,M,$130K - $150K,M,2,High School Degree,1992.10.09,Bronze
234,La Mesa,Washington,USA,1938.09.20,M,$10K - $30K,M,0,Partial High School,1991.08.20,Normal
235,W. Linn,Oregon,USA,1920.11.12,M,$70K - $90K,M,0,Bachelors Degree,1993.03.21,Silver
236,Oregon City,Oregon,USA,1930.11.15,S,$10K - $30K,M,0,Partial High School,1993.02.09,Normal
237,Royal Oak,British Columbia,Canada,1941.06.15,M,$70K - $90K,M,0,Bachelors Degree,1991.09.07,Bronze
238,Milwaukie,Oregon,USA,1954.10.17,M,$10K - $30K,F,1,Partial High School,1993.02.11,Normal
239,Concord,Washington,USA,1976.07.08,M,$110K - $130K,M,0,Graduate Degree,1992.07.06,Bronze
240,Glendale,Washington,USA,1960.09.10,M,$30K - $50K,M,2,Partial High School,1990.07.20,Bronze
241,San Andres,Mexico DF,Mexico,1963.10.23,M,$90K - $110K,M,4,High School Degree,1994.09.20,Golden
242,San Andres,Mexico DF,Mexico,1955.02.02,S,$10K - $30K,M,0,Partial High School,1994.10.03,Normal
243,Burnaby,British Columbia,Canada,1918.04.22,S,$30K - $50K,M,0,High School Degree,1994.03.21,Silver
244,Merida,Yucatan,Mexico,1945.07.24,M,$50K - $70K,F,3,Bachelors Degree,1990.01.02,Golden
245,Vancouver,British Columbia,Canada,1953.07.06,M,$130K - $150K,M,4,High School Degree,1993.06.20,Golden
246,Lincoln Acres,Washington,USA,1924.08.18,S,$30K - $50K,M,0,High School Degree,1992.05.07,Bronze
247,Tlaxiaco,Oaxaca,Mexico,1957.12.02,S,$50K - $70K,F,0,Bachelors Degree,1993.09.06,Bronze
248,Tixapan,Mexico DF,Mexico,1956.06.03,S,$30K - $50K,M,0,Partial College,1992.03.19,Bronze
249,Richmond,British Columbia,Canada,1911.08.20,S,$10K - $30K,F,0,Partial High School,1992.01.12,Normal
